,"Motor Case Outside Ave. (C)","Heatsink Inside Ave. (C)","PCO U Pad Ave. (C)","PCO U Package Ave. (C)","PCO V Pad Ave. (C)","PCO V Package Ave. (C)","PCO W Pad Ave. (C)","PCO W Package Ave. (C)"
"265","23.529","36.661","48.551","51.996","39.284","45.512","53.248","51.090"
"266","23.544","36.687","48.573","52.026","39.310","45.546","53.281","51.113"
"267","23.548","36.720","48.613","52.059","39.340","45.575","53.311","51.146"
"268","23.579","36.765","48.662","52.103","39.388","45.616","53.366","51.198"
"269","23.591","36.788","48.688","52.125","39.407","45.639","53.381","51.216"
"270","23.610","36.814","48.714","52.155","39.441","45.668","53.418","51.246"
"271","23.625","36.840","48.751","52.184","39.456","45.694","53.436","51.272"
"272","23.644","36.862","48.766","52.203","39.475","45.717","53.462","51.298"
"273","23.674","36.885","48.781","52.229","39.501","45.736","53.503","51.327"
"274","23.679","36.907","48.811","52.258","39.523","45.765","53.514","51.360"
"275","23.683","36.934","48.833","52.288","39.549","45.799","53.558","51.390"
"276","23.717","36.971","48.877","52.307","39.575","45.821","53.577","51.412"
"277","23.758","37.015","48.918","52.366","39.631","45.873","53.632","51.456"
"278","23.763","37.042","48.944","52.384","39.654","45.899","53.658","51.493"
"279","23.789","37.061","48.978","52.414","39.677","45.929","53.688","51.519"
"280","23.786","37.079","49.000","52.443","39.703","45.944","53.706","51.545"
"281","23.827","37.109","49.026","52.466","39.729","45.977","53.732","51.567"
"282","23.835","37.143","49.052","52.499","39.751","45.999","53.758","51.597"
"283","23.862","37.169","49.089","52.528","39.777","46.029","53.791","51.623"
"284","23.895","37.188","49.111","52.554","39.807","46.058","53.824","51.656"
"285","23.922","37.214","49.144","52.576","39.826","46.084","53.850","51.685"
"286","23.930","37.226","49.186","52.625","39.875","46.129","53.905","51.733"
"287","23.953","37.208","49.201","52.647","39.897","46.152","53.935","51.763"
"288","23.972","37.264","49.231","52.669","39.920","46.178","53.964","51.785"
"289","23.988","37.304","49.260","52.695","39.935","46.189","53.976","51.797"
"290","23.999","37.338","49.275","52.717","39.954","46.215","53.998","51.826"
"291","23.967","37.360","49.305","52.750","39.987","46.252","54.031","51.859"
"292","23.945","37.375","49.335","52.769","40.010","46.278","54.053","51.878"
"293","23.953","37.380","49.353","52.795","40.028","46.301","54.065","51.907"
"294","23.969","37.402","49.379","52.810","40.047","46.312","54.094","51.933"
"295","24.025","37.447","49.410","52.847","40.088","46.353","54.139","51.967"
"296","24.063","37.481","49.432","52.877","40.114","46.386","54.172","51.996"
"297","24.085","37.507","49.469","52.903","40.133","46.409","54.191","52.022"
"298","24.108","37.533","49.484","52.932","40.159","46.428","54.220","52.048"
"299","24.142","37.559","49.517","52.958","40.185","46.457","54.246","52.078"
"300","24.157","37.592","49.540","52.988","40.207","46.476","54.265","52.100"
"301","24.172","37.608","49.573","53.021","40.241","46.509","54.298","52.122"
"302","24.155","37.630","49.599","53.039","40.248","46.521","54.306","52.141"
"303","24.174","37.656","49.621","53.062","40.278","46.547","54.339","52.178"
"304","24.230","37.698","49.670","53.113","40.327","46.602","54.391","52.219"
"305","24.260","37.702","49.692","53.139","40.345","46.632","54.416","52.255"
"306","24.294","37.743","49.736","53.169","40.382","46.658","54.442","52.285"
"307","24.320","37.761","49.751","53.195","40.408","46.691","54.475","52.311"
"308","24.328","37.795","49.788","53.213","40.423","46.699","54.494","52.329"
"309","24.340","37.817","49.807","53.239","40.442","46.718","54.506","52.352"
"310","24.341","37.843","49.818","53.258","40.453","46.740","54.524","52.370"
"311","24.352","37.859","49.844","53.276","40.480","46.752","54.554","52.378"
"312","24.375","37.877","49.863","53.309","40.502","46.785","54.583","52.415"
"313","24.380","37.930","49.911","53.350","40.543","46.826","54.624","52.459"
"314","24.384","37.949","49.930","53.366","40.562","46.838","54.646","52.478"
"315","24.403","37.975","49.949","53.391","40.584","46.864","54.658","52.500"
"316","24.426","37.994","49.975","53.417","40.606","46.886","54.698","52.526"
"317","24.456","38.023","50.008","53.443","40.636","46.912","54.709","52.552"
"318","24.468","38.035","50.023","53.465","40.655","46.931","54.735","52.574"
